testing 1, 2, 3.
0,2020/3/2 12:41:38,62,98736.9
1,2020/3/2 12:41:40,63,98741.7
2,2020/3/2 12:41:42,63,98758.7
3,2020/3/2 12:41:44,63,98736.6
4,2020/3/2 12:41:46,63,98744.5
5,2020/3/2 12:41:48,63,98743.8
6,2041/3/2 12:41:50,64,98755.7
testing 1, 2, 3.
0,2020/3/2 12:43:24,64,98739.5
1,2020/3/2 12:43:26,64,98746.2
2,2020/3/2 12:43:28,64,98745.5
3,2020/3/2 12:43:30,64,98749.9
4,2020/3/2 12:43:32,64,98748.7
5,2020/3/2 12:43:34,64,98742.4
6,2020/3/2 12:43:36,64,98750.3
7,2020/3/2 12:43:38,64,98744.0
8,2020/3/2 12:43:40,64,98744.8
9,2020/3/2 12:43:42,64,98745.6
10,2020/3/2 12:43:44,64,98748.4
11,2020/3/2 12:43:46,64,98750.4
12,2020/3/2 12:43:48,64,98752.8
13,2020/3/2 12:43:50,64,98757.2
14,2020/3/2 12:43:52,64,98734.3
15,2020/3/2 12:43:54,64,98739.8
16,2020/3/2 12:43:56,64,98745.8
17,2020/3/2 12:43:58,64,98734.0
18,2020/3/2 12:44:0,65,98737.2
19,2020/3/2 12:44:2,65,98742.4
20,2020/3/2 12:44:4,65,98729.3
21,2020/3/2 12:44:6,65,98735.3
22,2020/3/2 12:44:8,65,98728.2
23,2020/3/2 12:44:10,65,98736.2
24,2020/3/2 12:44:12,65,98736.6
25,2020/3/2 12:44:15,65,98733.8
26,2020/3/2 12:44:17,65,98752.5
27,2020/3/2 12:44:19,65,98731.5
28,2020/3/2 12:44:21,65,98728.8
29,2020/3/2 12:44:23,65,98736.7
30,2020/3/2 12:44:25,66,98738.3
31,2020/3/2 12:44:27,66,98723.3
32,2020/3/2 12:44:29,66,98732.0
33,2020/3/2 12:44:31,66,98735.6
34,2020/3/2 12:44:33,66,98726.5
35,2020/3/2 12:44:35,66,98735.2
36,2020/3/2 12:44:37,66,98733.6
37,2020/3/2 12:44:39,66,98728.1
38,2020/3/2 12:44:41,66,98731.3
39,2020/3/2 12:44:43,66,98726.5
40,2020/3/2 12:44:45,66,98729.7
41,2020/3/2 12:44:47,66,98732.1
42,2020/3/2 12:44:49,66,98734.5
43,2020/3/2 12:44:51,66,98730.9
44,2020/3/2 12:44:53,66,98734.9
45,2020/3/2 12:44:55,66,98733.3
46,2020/3/2 12:44:57,66,98736.9
47,2020/3/2 12:44:59,66,98744.8
48,2020/3/2 12:45:1,66,98728.6
49,2020/3/2 12:45:3,66,98728.2
50,2020/3/2 12:45:5,66,98738.1
51,2020/3/2 12:45:7,66,98738.5
52,2020/3/2 12:45:9,66,98728.6
53,2020/3/2 12:45:11,66,98730.2
54,2020/3/2 12:45:13,66,98737.7
55,2020/3/2 12:45:15,66,98732.6
56,2020/3/2 12:45:17,66,98737.7
57,2020/3/2 12:45:19,66,98744.9
58,2020/3/2 12:45:21,67,98745.3
59,2020/3/2 12:45:23,67,98744.9
60,2020/3/2 12:45:25,67,98731.8
61,2020/3/2 12:45:27,67,98736.6
62,2020/3/2 12:45:29,67,98724.3
63,2020/3/2 12:45:32,67,98727.1
64,2020/3/2 12:45:34,67,98718.8
65,2020/3/2 12:45:36,67,98707.3
66,2020/3/2 12:45:38,67,98705.7
67,2020/3/2 12:45:40,67,98695.0
68,2020/3/2 12:45:42,67,98689.9
69,2020/3/2 12:45:44,67,98687.9
70,2020/3/2 12:45:46,67,98685.1
71,2020/3/2 12:45:48,67,98672.0
72,2020/3/2 12:45:50,67,98677.2
73,2020/3/2 12:45:52,67,98672.8
74,2020/3/2 12:45:54,67,98671.2
75,2020/3/2 12:45:56,67,98668.5
76,2020/3/2 12:45:58,67,98677.2
77,2020/3/2 12:46:0,68,98677.6
78,2020/3/2 12:46:2,68,98672.4
79,2020/3/2 12:46:4,68,98679.2
80,2020/3/2 12:46:6,68,98676.8
81,2020/3/2 12:46:8,68,98674.0
82,2020/3/2 12:46:10,68,98670.4
83,2020/3/2 12:46:12,68,98670.8
84,2020/3/2 12:46:14,68,98672.0
85,2020/3/2 12:46:16,68,98675.2
86,2020/3/2 12:46:18,68,98669.6
87,2020/3/2 12:46:20,68,98674.3
88,2020/3/2 12:46:22,68,98674.0
89,2020/3/2 12:46:24,68,98672.7
90,2020/3/2 12:46:26,68,98679.9
91,2020/3/2 12:46:28,69,98673.5
92,2020/3/2 12:46:30,69,98679.9
93,2020/3/2 12:46:32,69,98674.3
94,2020/3/2 12:46:34,69,98663.2
95,2020/3/2 12:46:36,69,98673.5
96,2020/3/2 12:46:38,69,98669.9
97,2020/3/2 12:46:40,69,98673.1
98,2020/3/2 12:46:42,69,98678.3
99,2020/3/2 12:46:44,69,98679.8
100,2020/3/2 12:46:47,69,98673.9
101,2020/3/2 12:46:49,69,98673.9
