testing 1, 2, 3.
126,2020/3/2 13:0:25,74,98672.0
127,2020/3/2 13:0:26,74,98676.3
128,2020/3/2 13:0:27,74,98681.6
129,2020/3/2 13:0:28,74,98678.3
130,2020/3/2 13:0:29,74,98675.1
131,2020/3/2 13:0:30,74,98671.5
132,2020/3/2 13:0:31,74,98668.0
133,2020/3/2 13:0:32,74,98662.0
134,2020/3/2 13:0:33,74,98660.0
135,2020/3/2 13:0:34,74,98667.1
136,2020/3/2 13:0:36,74,98660.4
137,2020/3/2 13:0:37,74,98668.7
138,2020/3/2 13:0:38,74,98662.0
139,2020/3/2 13:0:39,74,98661.5
140,2020/3/2 13:0:40,74,98669.9
141,2020/3/2 13:0:41,74,98662.3
142,2020/3/2 13:0:42,74,98667.5
143,2020/3/2 13:0:43,74,98656.8
144,2020/3/2 13:0:44,74,98663.5
145,2020/3/2 13:0:45,74,98658.0
146,2020/3/2 13:0:46,74,98661.5
147,2020/3/2 13:0:47,74,98660.3
148,2020/3/2 13:0:48,74,98657.1
149,2020/3/2 13:0:49,74,98660.7
150,2020/3/2 13:0:50,74,98665.1
151,2020/3/2 13:0:51,74,98663.9
152,2020/3/2 13:0:52,74,98663.9
153,2020/3/2 13:0:53,74,98663.1
154,2020/3/2 13:0:54,74,98664.7
155,2020/3/2 13:0:55,74,98661.1
156,2020/3/2 13:0:56,74,98661.5
157,2020/3/2 13:0:57,74,98659.1
158,2020/3/2 13:0:58,74,98654.7
159,2020/3/2 13:0:59,74,98648.4
160,2020/3/2 13:1:0,74,98640.8
161,2020/3/2 13:1:1,74,98642.0
162,2020/3/2 13:1:2,74,98643.2
163,2020/3/2 13:1:3,74,98632.1
164,2020/3/2 13:1:4,74,98633.3
165,2020/3/2 13:1:5,74,98632.1
166,2020/3/2 13:1:6,74,98630.5
167,2020/3/2 13:1:7,74,98630.1
168,2020/3/2 13:1:8,74,98631.3
169,2020/3/2 13:1:9,74,98645.7
170,2020/3/2 13:1:10,74,98638.9
171,2020/3/2 13:1:11,74,98629.0
172,2020/3/2 13:1:12,74,98631.0
173,2020/3/2 13:1:13,74,98627.3
174,2020/3/2 13:1:14,74,98616.9
175,2020/3/2 13:1:16,74,98625.6
176,2020/3/2 13:1:17,74,98616.1
